,State_Name,Crop_Year,Season,Crop,Area,Production
222664,Uttar Pradesh,2001,Rabi       ,Wheat,82542.0,306025.0
223218,Uttar Pradesh,2006,Rabi       ,Potato,2177.0,47539.0
64542,Gujarat,2004,Rabi       ,Wheat,25500.0,52400.0
241926,West Bengal,2005,Whole Year ,Potato,7336.0,214027.0
220084,Uttar Pradesh,2008,Kharif     ,Sugarcane,398.0,20187.0
86858,Karnataka,2006,Whole Year ,Sugarcane,1383.0,89342.0
70243,Haryana,2012,Rabi       ,Wheat,44652.0,222000.0
174393,Rajasthan,2008,Whole Year ,Sugarcane,9.0,535.0
51396,Chhattisgarh,2014,Whole Year ,Onion,308.0,2478.0
200515,Uttar Pradesh,2008,Rabi       ,Onion,3.0,35.0
22744,Assam,2002,Whole Year ,Sugarcane,279.0,10666.0
207116,Uttar Pradesh,2010,Kharif     ,Sugarcane,738.0,32404.0
235938,Uttarakhand,2007,Rabi       ,Wheat,97910.0,373379.0
93474,Karnataka,2004,Whole Year ,Potato,15.0,93.0
234214,Uttarakhand,2012,Summer     ,Rice,176.0,565.0
206440,Uttar Pradesh,2001,Kharif     ,Rice,39615.0,89141.0
161388,Punjab,2007,Kharif     ,Rice,178000.0,546000.0
220701,Uttar Pradesh,2012,Rabi       ,Wheat,154351.0,510902.0
238795,West Bengal,2002,Whole Year ,Sugarcane,1045.0,53209.0
34115,Bihar,2008,Kharif     ,Potato,4110.0,29880.0
240613,West Bengal,2008,Whole Year ,Potato,4841.0,86286.0
42801,Bihar,2007,Whole Year ,Sugarcane,312.0,10732.0
50667,Chhattisgarh,2008,Whole Year ,Sugarcane,92.0,264.0
11796,Arunachal Pradesh,2005,Whole Year ,Sugarcane,85.0,400.0
67063,Haryana,2011,Kharif     ,Rice,4803.0,15000.0
35243,Bihar,2007,Whole Year ,Potato,3285.0,25145.0
145747,Nagaland,2007,Kharif     ,Potato,260.0,3960.0
86077,Karnataka,2008,Kharif     ,Rice,70956.0,235254.62
172767,Rajasthan,2008,Whole Year ,Onion,12474.0,105352.0
175131,Rajasthan,2005,Whole Year ,Potato,5.0,10.0
136088,Maharashtra,2013,Summer     ,Rice,2600.0,5600.0
230274,Uttar Pradesh,2003,Whole Year ,Potato,7069.0,106975.0
188482,Tamil Nadu,2009,Whole Year ,Onion,2145.0,26371.0
182636,Tamil Nadu,2003,Whole Year ,Sugarcane,2213.0,225014.0
199363,Uttar Pradesh,2002,Whole Year ,Sugarcane,862.0,37422.0
6655,Andhra Pradesh,2005,Rabi       ,Rice,189671.0,713732.0
102627,Madhya Pradesh,2008,Whole Year ,Sugarcane,15.0,540.0
92256,Karnataka,2012,Rabi       ,Wheat,6540.0,3945.0
207394,Uttar Pradesh,2004,Kharif     ,Rice,15140.0,12356.0
55296,Chhattisgarh,2001,Whole Year ,Potato,21.0,133.0
207019,Uttar Pradesh,2006,Rabi       ,Potato,1375.0,26717.0
23985,Assam,2004,Summer     ,Rice,58736.0,134682.0
1647,Andhra Pradesh,2012,Rabi       ,Potato,845.0,12739.0
210541,Uttar Pradesh,2014,Kharif     ,Sugarcane,7882.0,518486.0
219902,Uttar Pradesh,2001,Kharif     ,Rice,52458.0,90256.0
57015,Goa,2011,Rabi       ,Rice,8450.0,23108.0
224729,Uttar Pradesh,2011,Kharif     ,Sugarcane,55543.0,3575414.0
94253,Karnataka,2004,Whole Year ,Onion,1429.0,12466.0
191412,Telangana ,2002,Rabi       ,Onion,499.0,12469.0
205124,Uttar Pradesh,2005,Rabi       ,Wheat,101462.0,232348.0
156438,Odisha,2004,Summer     ,Wheat,549.0,663.9
92508,Karnataka,2001,Summer     ,Rice,14182.0,36458.0
196510,Telangana ,2003,Rabi       ,Onion,168.0,4656.0
14562,Assam,2007,Summer     ,Rice,3182.0,5118.0
162276,Punjab,2006,Kharif     ,Rice,201000.0,636000.0
120635,Madhya Pradesh,2007,Whole Year ,Onion,437.0,8876.0
211738,Uttar Pradesh,2012,Rabi       ,Wheat,28227.0,123550.0
5082,Andhra Pradesh,2005,Rabi       ,Wheat,711.0,418.0
51448,Chhattisgarh,2001,Kharif     ,Rice,164934.0,262672.0
99910,Kerala,2002,Whole Year ,Coconut ,41424.0,213000000.0
226091,Uttar Pradesh,2007,Rabi       ,Onion,15.0,209.0
186988,Tamil Nadu,2002,Whole Year ,Sugarcane,5993.0,665600.0
75236,Jammu and Kashmir ,2008,Rabi       ,Wheat,3997.0,2360.0
171883,Rajasthan,2002,Kharif     ,Rice,357.0,290.0
109915,Madhya Pradesh,2004,Whole Year ,Onion,47.0,755.0
198916,Uttar Pradesh,2004,Kharif     ,Rice,38381.0,86421.0
80776,Karnataka,2012,Summer     ,Rice,178.0,639.0
90467,Karnataka,2012,Kharif     ,Onion,2744.0,3785.0
92621,Karnataka,2003,Whole Year ,Sugarcane,13042.0,1474398.0
67822,Haryana,2006,Kharif     ,Rice,93719.0,248000.0
87121,Karnataka,2012,Kharif     ,Potato,625.0,2227.0
110828,Madhya Pradesh,2003,Whole Year ,Potato,286.0,3432.0
81553,Karnataka,2012,Whole Year ,Cashewnut,61.0,49.0
115746,Madhya Pradesh,2006,Whole Year ,Onion,664.0,14497.0
52355,Chhattisgarh,2007,Kharif     ,Rice,109818.0,120613.0
228046,Uttar Pradesh,2011,Kharif     ,Sugarcane,41556.0,2458952.0
14995,Assam,2002,Whole Year ,Onion,620.0,1550.0
163516,Punjab,2011,Kharif     ,Rice,113000.0,402000.0
208396,Uttar Pradesh,2006,Rabi       ,Onion,93.0,1784.0
83221,Karnataka,2007,Rabi       ,Rice,110.0,239.0
84724,Karnataka,2005,Rabi       ,Onion,1276.0,13228.0
41156,Bihar,2004,Whole Year ,Onion,196.0,1852.0
63205,Gujarat,2010,Rabi       ,Wheat,34600.0,115200.0
212724,Uttar Pradesh,2013,Summer     ,Onion,681.0,9164.0
46089,Chhattisgarh,2014,Kharif     ,Rice,183795.0,348670.0
38434,Bihar,2003,Autumn     ,Rice,33.0,40.0
132920,Maharashtra,2007,Whole Year ,Sugarcane,502.0,43063.0
2083,Andhra Pradesh,2004,Kharif     ,Onion,129.0,2189.0
45753,Bihar,2009,Rabi       ,Wheat,50222.0,120745.0
73541,Himachal Pradesh,2010,Whole Year ,Sugarcane,1026.0,28586.0
100592,Kerala,2008,Summer     ,Rice,1521.0,4742.0
179173,Tamil Nadu,2007,Whole Year ,Onion,122.0,1175.0
175224,Rajasthan,2008,Whole Year ,Sugarcane,39.0,2318.0
177960,Tamil Nadu,2002,Whole Year ,Cashewnut,243.0,73.0
191701,Telangana ,2009,Rabi       ,Rice,10240.0,23235.0
42602,Bihar,2001,Rabi       ,Wheat,90027.0,212755.0
35179,Bihar,2005,Rabi       ,Wheat,22607.0,16627.0
223442,Uttar Pradesh,2014,Rabi       ,Potato,1714.0,57520.0
118970,Madhya Pradesh,2002,Whole Year ,Sugarcane,239.0,6230.0
139212,Meghalaya,2002,Kharif     ,Rice,16907.0,30409.0
60269,Gujarat,2005,Whole Year ,Sugarcane,300.0,28000.0
71109,Haryana,2010,Whole Year ,Sugarcane,5733.0,50000.0
170623,Rajasthan,2008,Rabi       ,Wheat,207479.0,680021.0
106106,Madhya Pradesh,2006,Whole Year ,Potato,928.0,7325.0
202517,Uttar Pradesh,2014,Kharif     ,Rice,165249.0,367679.0
112367,Madhya Pradesh,2006,Whole Year ,Sugarcane,19.0,580.0
108452,Madhya Pradesh,2002,Kharif     ,Rice,2662.0,1396.0
125645,Maharashtra,2013,Kharif     ,Rice,7900.0,19000.0
192300,Telangana ,2009,Rabi       ,Onion,594.0,14416.0
228972,Uttar Pradesh,2009,Rabi       ,Wheat,166621.0,388394.0
134630,Maharashtra,2004,Kharif     ,Rice,124500.0,275900.0
56782,Dadra and Nagar Haveli,2003,Kharif     ,Coconut ,180.0,450.0
29620,Bihar,2004,Summer     ,Rice,408.0,614.0
110464,Madhya Pradesh,2008,Whole Year ,Sugarcane,226.0,5980.0
225747,Uttar Pradesh,2012,Rabi       ,Onion,241.0,5544.0
32405,Bihar,2011,Winter     ,Rice,29790.0,72625.0
72369,Himachal Pradesh,2010,Rabi       ,Wheat,93462.0,162252.0
203554,Uttar Pradesh,2001,Whole Year ,Potato,106.0,2614.0
84139,Karnataka,2010,Rabi       ,Potato,21.0,244.0
141497,Meghalaya,2012,Rabi       ,Rice,12552.0,55697.0
230311,Uttar Pradesh,2005,Rabi       ,Potato,7458.0,146058.0
243608,West Bengal,2012,Winter     ,Rice,256014.0,590720.0
61814,Gujarat,2006,Rabi       ,Wheat,54900.0,156700.0
150809,Odisha,2011,Summer     ,Rice,1000.0,3000.0
6959,Andhra Pradesh,2013,Whole Year ,Coconut ,543.0,9000000.0
112454,Madhya Pradesh,2009,Whole Year ,Sugarcane,9.0,270.0
218575,Uttar Pradesh,2007,Rabi       ,Onion,194.0,2711.0
35308,Bihar,2010,Autumn     ,Rice,2356.0,1239.0
175397,Rajasthan,2001,Whole Year ,Sugarcane,35.0,1669.0
11980,Arunachal Pradesh,2007,Whole Year ,Potato,101.0,1420.0
242326,West Bengal,2003,Whole Year ,Potato,20928.0,459292.0
9837,Arunachal Pradesh,2004,Whole Year ,Potato,86.0,688.0
238758,West Bengal,2001,Whole Year ,Coconut ,452.0,3164.0
180458,Tamil Nadu,2011,Whole Year ,Potato,238.0,4342.0
87228,Karnataka,2014,Kharif     ,Potato,1286.0,7917.0
142261,Mizoram,2008,Whole Year ,Sugarcane,133.0,2793.0
9606,Andhra Pradesh,2008,Rabi       ,Rice,195014.0,821789.0
153534,Odisha,2015,Autumn     ,Rice,41000.0,29000.0
216085,Uttar Pradesh,2011,Summer     ,Onion,22.0,238.0
122613,Madhya Pradesh,2011,Whole Year ,Onion,741.0,9323.0
210299,Uttar Pradesh,2006,Rabi       ,Wheat,147236.0,363910.0
170973,Rajasthan,2006,Whole Year ,Potato,7.0,52.0
234582,Uttarakhand,2011,Rabi       ,Wheat,25293.0,32345.0
91568,Karnataka,2011,Whole Year ,Cashewnut,1566.0,2223.0
60290,Gujarat,2006,Whole Year ,Onion,3400.0,74800.0
24050,Assam,2006,Whole Year ,Onion,848.0,1781.0
125829,Maharashtra,2003,Rabi       ,Wheat,8700.0,12300.0
155011,Odisha,2002,Whole Year ,Onion,410.0,2680.0
112307,Madhya Pradesh,2004,Whole Year ,Sugarcane,12.0,350.0
17651,Assam,2013,Winter     ,Rice,9125.0,20277.0
146595,Nagaland,2006,Rabi       ,Wheat,150.0,140.0
220159,Uttar Pradesh,2010,Rabi       ,Wheat,83618.0,236473.0
76402,Jharkhand,2002,Winter     ,Rice,6723.39,7081.97
103245,Madhya Pradesh,2002,Whole Year ,Tomato,198.0,0.0
131976,Maharashtra,2003,Whole Year ,Tomato,214.0,676.0
239578,West Bengal,2009,Summer     ,Rice,51428.0,144105.0
141018,Meghalaya,2013,Whole Year ,Sugarcane,11.0,40.0
179832,Tamil Nadu,2009,Whole Year ,Sugarcane,5055.0,739841.0
160900,Puducherry,2008,Summer     ,Rice,4885.0,14132.0
18018,Assam,2007,Winter     ,Rice,45050.0,56089.0
73880,Himachal Pradesh,2005,Rabi       ,Onion,93.0,1016.0
76397,Jharkhand,2010,Rabi       ,Wheat,677.0,375.0
45952,Chandigarh,2005,Rabi       ,Wheat,600.0,2750.0
63559,Gujarat,2011,Rabi       ,Wheat,113800.0,451500.0
75746,Jharkhand,2007,Winter     ,Rice,46093.35,85272.67
171336,Rajasthan,2009,Whole Year ,Sugarcane,1.0,58.0
165532,Rajasthan,2005,Kharif     ,Rice,33179.0,21774.0
97342,Karnataka,2003,Summer     ,Rice,1324.0,4930.0
227348,Uttar Pradesh,2002,Kharif     ,Rice,28652.0,65832.0
85136,Karnataka,2013,Whole Year ,Coconut ,38301.0,504271.0
39194,Bihar,2009,Rabi       ,Wheat,82065.0,172678.0
103485,Madhya Pradesh,2009,Whole Year ,Onion,217.0,4502.0
185283,Tamil Nadu,2001,Whole Year ,Sugarcane,5033.0,435900.0
200273,Uttar Pradesh,2014,Rabi       ,Onion,177.0,2708.0
43884,Bihar,2002,Rabi       ,Wheat,70712.0,119007.0
97430,Karnataka,2005,Whole Year ,Coconut ,7197.0,34229.0
233837,Uttarakhand,2014,Rabi       ,Wheat,44297.0,91526.0
122517,Madhya Pradesh,2008,Rabi       ,Wheat,114825.0,224004.0
191012,Tamil Nadu,2006,Whole Year ,Cashewnut,63.0,29.0
245953,West Bengal,2010,Whole Year ,Sugarcane,303.0,11541.0
160233,Odisha,2008,Winter     ,Rice,121000.0,187000.0
70220,Haryana,2011,Kharif     ,Rice,3298.0,9000.0
152168,Odisha,2010,Winter     ,Sugarcane,210.0,11225.1
198943,Uttar Pradesh,2005,Rabi       ,Potato,10291.0,239163.0
122047,Madhya Pradesh,2007,Whole Year ,Sugarcane,57.0,2420.0
184910,Tamil Nadu,2004,Whole Year ,Onion,720.0,5400.0
63186,Gujarat,2009,Rabi       ,Onion,1000.0,27500.0
11501,Arunachal Pradesh,2008,Kharif     ,Rice,758.0,758.0
231869,Uttarakhand,2012,Rabi       ,Potato,1039.0,7124.0
67839,Haryana,2007,Kharif     ,Rice,95256.0,249000.0
121530,Madhya Pradesh,2003,Rabi       ,Wheat,77506.0,148275.0
71587,Himachal Pradesh,2004,Kharif     ,Rice,1497.0,2027.0
81578,Karnataka,2013,Kharif     ,Rice,3572.0,5541.0
142333,Mizoram,2001,Whole Year ,Sugarcane,178.0,3702.0
48066,Chhattisgarh,2002,Kharif     ,Rice,204492.0,113811.0
133266,Maharashtra,2003,Whole Year ,Tomato,543.0,1712.0
60564,Gujarat,2002,Rabi       ,Wheat,14700.0,45200.0
26718,Assam,2006,Whole Year ,Potato,9849.0,50673.0
148392,Odisha,2003,Rabi       ,Wheat,492.0,723.2
232949,Uttarakhand,2011,Whole Year ,Sugarcane,1.0,61.0
137628,Maharashtra,2003,Rabi       ,Wheat,17600.0,20800.0
211194,Uttar Pradesh,2003,Whole Year ,Potato,156.0,2824.0
75233,Jammu and Kashmir ,2007,Rabi       ,Wheat,4021.0,5650.0
155542,Odisha,2004,Summer     ,Rice,18000.0,35000.0
